instanceType,space,externalId,createdTime,lastUpdatedTime,type,startNodeSpace,startNodeExternalId,endNodeSpace,endNodeExternalId,status,confidence,name,startNodeText,startNodeXMax,startNodeXMin,startNodeYMax,startNodeYMin,startNodePageNumber,sourceCreatedTime,sourceCreatedUser,sourceUpdatedTime,sourceUpdatedUser
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-FE-9189:48-FE-9189:aaff073a0b,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-FE-9189,Approved,1.0,file_PH-25578-P-4110119-001.pdf,48-FE-9189,0.1920209550674995,0.17146886963530122,0.6526075805072671,0.6480478768880025,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-FE-9189:48-FE-9189:f6c4eef75b,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-FE-9189,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,48-FE-9189,0.29599032843038486,0.2859157767479347,0.7073240239384442,0.7024793388429752,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:23-SU-9113:23-SU-9113:1e3c14dbe3,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,23-SU-9113,Approved,1.0,file_PH-25578-P-4110119-001.pdf,23-SU-9113,0.11122305057424944,0.08986500100745518,0.7087489313194643,0.7036192647477916,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:23-FSL-96141:23-FSL-96141:3741c6e2a6,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,23-FSL-96141,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,23-FSL-96141,0.3604674591980657,0.34837799717912554,0.08378455400398976,0.07922485038472502,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-PT-96962:48-PT-96962:6e226313fe,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-PT-96962,Approved,1.0,file_PH-25578-P-4110119-001.pdf,48-PT-96962,0.09147692927664719,0.08099939552689905,0.5665431746936449,0.5534340267882588,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-FXY-96960:48-FXY-96960:58691ed1a3,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-FXY-96960,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,48-FXY-96960,0.09268587547854121,0.08019343139230305,0.6429182103163295,0.6383585066970647,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-XY-96961:48-XY-96961:e8f28bc44f,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-XY-96961,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,48-XY-96961,0.04432802740278058,0.03445496675397945,0.6206896551724138,0.6107153035052721,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:23-EC-9102:23-EC-9102:e0713d00f1,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,23-EC-9102,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,23-EC-9102,0.2373564376385251,0.22909530525891597,0.20461669991450557,0.19549729267597607,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:48-PT-96960:48-PT-96960:e6c3df3daa,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,48-PT-96960,Approved,1.0,file_PH-25578-P-4110119-001.pdf,48-PT-96960,0.09147692927664719,0.08079790449325006,0.5956112852664577,0.5813622114562553,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
edge,inst_location,inst_location:file_PH-25578-P-4110119-001.pdf:inst_location:23-FAL-96141:23-FAL-96141:b760b59073,1774885003740,1774885003740,diagrams.AssetLink,inst_location,file_PH-25578-P-4110119-001.pdf,inst_location,23-FAL-96141,Suggested,0.5,file_PH-25578-P-4110119-001.pdf,23-FAL-96141,0.31775136006447713,0.308079790449325,0.06326588771729838,0.053006554573952695,1,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation,2026-03-30T15:36:42+00:00,fn_dm_p_and_id_annotation
